pathway	description	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
PWY-5705	allantoin degradation to glyoxylate III	2233.7839	2089.3197	2433.2053	3132.5959999999995	2465.6728	3093.5548	1851.6452	2128.9588	2312.2061	1881.6091	2102.8582	2590.4179	2066.697	2704.8797	2135.3763	2124.2394	2259.7912	2113.215
PWY-5741	ethylmalonyl-CoA pathway	1750.7739	1907.0507	2426.4797	2097.074	1519.5422	2080.5014	1716.3631	1690.5176	1483.3873	1179.5354	1668.9339	1765.1691	1462.3123	1503.118	1974.3689	1848.1978	1687.8191	1792.2087
PWY-5747	2-methylcitrate cycle II	4530.2533	4287.8367	4750.5404	5206.9659	6283.5746	5858.8768	3995.4179	4522.9578	5117.5342	3915.3579999999997	4699.0266	5190.8703	5606.4462	6235.8605	5391.9778	5271.5905	5991.4685	5075.624
PWY-5837	1,4-dihydroxy-2-naphthoate biosynthesis I	1713.0075	1772.4834	1769.6073	1608.5421	2357.7288	1721.4386	3270.6317	3128.5419	3094.7022	2434.5743	2983.1731	3148.4913	3977.268	4071.3511	3680.6483	3373.3269	3783.5725	2860.9252
PWY-5838	superpathway of menaquinol-8 biosynthesis I	3724.6044	4224.8757	4250.2781	3847.6087	4655.438	3908.6962	5587.8394	6078.2998	6076.0841	4795.4232	5490.7896	5866.5766	7491.0655	7581.9867	6916.4739	6461.8851	7118.1448	5826.2895
PWY-5840	superpathway of menaquinol-7 biosynthesis	3640.9687	4200.4538	4172.0206	3801.69	4445.7018	3814.4608	5475.9495	5984.3649	5974.3122	4692.9220000000005	5358.8201	5763.7885	7367.5438	7359.6927	6766.3072	6355.4179	6967.4485	5703.3612
PWY-5845	superpathway of menaquinol-9 biosynthesis	2378.8904	2711.6795	1913.4737	2352.1567	2000.7243	2222.4426	4234.4083	3636.1588	3815.9412	2961.4237	3895.3743	4485.5428	4916.6	4903.5282	4170.8997	3476.7244	5201.2428	2664.3887
PWY-5850	superpathway of menaquinol-6 biosynthesis I	2378.8904	2711.6795	1913.4737	2352.1567	2000.7243	2222.4426	3823.1735	3620.895	3595.1869	2961.4237	3188.3898	4417.6167	2718.3711	2457.3892	3081.3968	2628.7395	2799.9585	2664.3887
PWY-5855	ubiquinol-7 biosynthesis (prokaryotic)	15973.5268	14200.2667	18059.5983	18377.0046	20890.509	18688.7414	11009.8178	12819.8666	15605.6606	12432.3944	13880.5187	14168.3258	16689.3427	19311.9156	16377.8129	16856.1558	17899.6206	16404.9359
PWY-5856	ubiquinol-9 biosynthesis (prokaryotic)	15973.5268	14200.2667	18059.5983	18377.0046	20890.509	18688.7414	11009.8178	12819.8666	15605.6606	12432.3944	13880.5187	14168.3258	16689.3427	19311.9156	16377.8129	16856.1558	17899.6206	16404.9359
PWY-5857	ubiquinol-10 biosynthesis (prokaryotic)	15973.5268	14200.2667	18059.5983	18377.0046	20890.509	18688.7414	11009.8178	12819.8666	15605.6606	12432.3944	13880.5187	14168.3258	16689.3427	19311.9156	16377.8129	16856.1558	17899.6206	16404.9359
PWY-5860	superpathway of demethylmenaquinol-6 biosynthesis I	1659.8756	1899.3367	1314.7562	1630.0199	1375.9791	1535.8485	2773.4878	2585.5125	2551.3161	2107.9028	2262.3125	3197.5651	1890.3211	1696.932	2157.2545	1827.3525	1948.025	1857.1171
PWY-5861	superpathway of demethylmenaquinol-8 biosynthesis	2669.2572	3045.2812	3033.9737	2735.0101	3341.9043	2778.2989	4225.6014	4560.2164	4512.6432	3562.6455	4085.7446	4369.2142	5635.4491	5658.2774	5164.3967	4790.3159	5309.3415	4292.9175
PWY-5862	superpathway of demethylmenaquinol-9 biosynthesis	1659.8756	1899.3367	1314.7562	1630.0199	1375.9791	1535.8485	3101.2234	2597.1898	2718.7366	2107.9028	2803.9418	3251.0170000000003	3542.3498	3511.2719	2972.6995	2450.5919	3759.2455	1857.1171
PWY-5863	superpathway of phylloquinol biosynthesis	1925.7871	2003.6624	1995.7044	1815.21	2630.5559	1936.5186	3611.1672	3491.6373	3465.9356	2719.8831	3320.2247	3503.0159	4439.5407	4532.4197	4101.806	3777.2547	4222.2072	3201.8936
PWY-5896	superpathway of menaquinol-10 biosynthesis	2378.8904	2711.6795	1913.4737	2352.1567	2000.7243	2222.4426	3823.1735	3620.895	3595.1869	2961.4237	3188.3898	4417.6167	2718.3711	2457.3892	3081.3968	2628.7395	2799.9585	2664.3887
PWY-5897	superpathway of menaquinol-11 biosynthesis	3458.2998	3909.1908	3910.3463	3539.4449	4352.563	3610.0905	5364.7299	5761.6907	5739.2764	4522.04	5214.3099	5570.531999999999	7126.6103	7191.8536	6563.5473	6116.8982	6755.83	5472.3223
PWY-5898	superpathway of menaquinol-12 biosynthesis	3458.2998	3909.1908	3910.3463	3539.4449	4352.563	3610.0905	5364.7299	5761.6907	5739.2764	4522.04	5214.3099	5570.531999999999	7126.6103	7191.8536	6563.5473	6116.8982	6755.83	5472.3223
PWY-5899	superpathway of menaquinol-13 biosynthesis	3458.2998	3909.1908	3910.3463	3539.4449	4352.563	3610.0905	5364.7299	5761.6907	5739.2764	4522.04	5214.3099	5570.531999999999	7126.6103	7191.8536	6563.5473	6116.8982	6755.83	5472.3223
