PathwayL2	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Cellular community - eukaryotes	180.0	116.0	146.0	96.0	167.0	260.0	94.0	245.0	91.0	66.0	77.0	261.0	236.0	102.0	104.0	330.0	349.0	247.0
Cellular community - prokaryotes	1826407.9200000023	1754020.0599999994	2100814.820000002	2186344.420000003	2347428.9100000006	2185168.4599999976	1270207.609999997	1526609.7500000026	1773543.3200000005	1459455.7800000003	1604497.879999997	1652059.2999999996	1968765.0800000015	2243580.5600000024	1865365.7500000014	1961567.4099999995	2117158.1099999994	1874565.3499999999
Circulatory system	28156.160000000003	21797.0	30606.829999999998	31949.54	38899.56	33915.270000000004	17563.010000000002	19144.5	22432.08	19097.55	22717.600000000006	22069.010000000002	25466.239999999998	31708.010000000002	25868.239999999998	26750.25	28828.43	26904.430000000008
Development and regeneration	10717.699999999999	9065.16	12921.9	11840.1	14389.98	11701.55	7742.4	9361.630000000001	10639.89	8606.15	9558.570000000003	9767.16	12258.99	14079.54	11026.25	11173.719999999996	13042.84	11851.570000000003
Digestive system	133819.16	143319.44	162664.44999999995	157632.57999999996	162506.39	155545.63	94910.87000000001	123973.55	150663.2	113995.43000000001	121224.35	120388.71999999999	158302.69000000003	171101.57	146278.90000000002	160183.62999999995	161757.07	145439.37
Drug resistance: antimicrobial	438630.1300000001	438054.6699999999	523860.7199999995	521027.9699999999	549828.3100000003	527482.2299999997	335608.9499999999	398490.9599999997	465721.5700000001	377746.26000000024	402011.7400000004	428925.0499999999	487983.16999999987	550493.4400000002	477140.92000000004	495257.9600000004	518724.79000000004	473052.12
Drug resistance: antineoplastic	209178.52000000002	190324.57000000004	242953.08000000005	240948.73999999996	269743.13	252472.06	144583.42999999996	172919.41	197520.53000000003	162652.82000000004	182770.62	183151.33000000002	215758.50999999998	251778.63	210476.49	221221.23	233580.74000000002	212368.83000000005
Endocrine and metabolic disease	153526.03	154878.95	181146.48000000004	180141.16999999998	187385.97000000003	180399.09000000003	115853.58	139685.89	157353.15	124485.19999999998	140950.22999999998	143959.75	173788.31000000003	193153.45	168286.98	175310.80999999997	182576.36	166398.46000000002
Endocrine system	478612.81000000006	528332.5299999999	564576.0699999998	562619.1200000001	543041.2799999998	551678.1200000001	371531.27999999997	461228.49	535169.55	408970.8699999999	448271.57999999996	453790.9999999999	588813.4399999998	626019.05	550843.41	589069.64	597112.1100000001	541421.1200000001
Energy metabolism	2545662.900000001	2699905.2700000014	3108824.9100000034	3022994.4600000023	3052597.5699999975	2976937.779999997	2058089.4599999976	2493798.589999997	2826533.5100000026	2195184.1699999995	2452555.750000001	2540265.9099999955	3061099.320000004	3311196.7700000023	2929377.7400000026	3053319.959999997	3173551.1600000025	2868022.5399999977
Environmental adaptation	213486.03000000003	207423.7	246194.19	248920.42999999993	265732.42000000004	251766.32000000004	150430.47	182389.3	216835.68	170967.15	188303.30000000002	189447.48000000004	236674.81999999992	267726.95	225025.69999999995	238206.16999999998	247636.85999999996	226733.55000000005
