Pathway	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Photosynthesis proteins [BR:ko00194]	148664.38999999998	153415.26999999984	183895.50999999998	171707.24000000002	181341.83000000002	173988.42999999982	169032.94999999987	175094.44999999984	189568.44000000006	137090.03	182330.30000000016	195470.4399999999	216701.9999999999	232493.86000000002	200918.08	196547.78999999986	230794.12000000008	181116.14000000004
Phototransduction - fly [PATH:ko04745]	0.0	6.0	0.0	14.0	0.0	24.0	10.0	0.0	0.0	0.0	0.0	5.0	20.0	0.0	8.0	0.0	26.0	0.0
Phototransduction [PATH:ko04744]	0.0	6.0	0.0	14.0	0.0	24.0	10.0	0.0	0.0	0.0	0.0	5.0	20.0	0.0	8.0	0.0	26.0	0.0
Plant-pathogen interaction [PATH:ko04626]	102213.76000000001	94318.31000000001	116636.19999999998	119580.32	131830.18	121467.87999999999	70686.52	83681.19	102381.25000000001	82206.43000000001	88236.45999999999	90883.70999999999	111155.36	129220.62000000002	104660.64000000001	109035.45	116279.8	105401.05000000002
Platelet activation [PATH:ko04611]	0.0	20.0	0.0	10.0	14.66	0.0	44.0	90.0	74.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	20.0
Platinum drug resistance [PATH:ko01524]	131854.84	109084.01000000001	147936.23	150344.78	176881.43	161739.6	83811.01999999999	96164.27	111198.46	94723.51	109785.03999999998	107160.39	125553.29000000001	152786.02	122207.16	129215.99	139900.25	124030.54000000002
Polycyclic aromatic hydrocarbon degradation [PATH:ko00624]	24081.339999999997	22089.5	27021.67	26548.550000000003	31145.16	24923.339999999997	13757.34	20425.5	20507.01	17906.5	21282.800000000003	19103.34	23588.5	26672.839999999997	22421.83	24415.829999999998	29025.83	24757.530000000002
Polyketide biosynthesis proteins [BR:ko01008]	18018.690000000002	27374.5	24251.789999999997	21072.0	15181.429999999998	17162.03	15995.24	20976.05	31128.269999999997	21257.94	17914.600000000002	21600.239999999998	28336.16	22797.190000000002	22996.16	34450.90000000001	27528.319999999996	22531.079999999998
Polyketide sugar unit biosynthesis [PATH:ko00523]	75284.73999999999	86339.89000000001	95605.17	92964.52	92090.4	86350.59999999999	60159.12999999999	80215.98000000001	89328.86	67372.25	73351.42	74051.39000000001	98053.26	101964.26999999999	89664.57	94614.15000000001	98756.67	89539.75
Porphyrin and chlorophyll metabolism [PATH:ko00860]	454027.16000000003	484398.60000000015	559400.9899999998	541203.3499999999	550206.3499999999	533565.42	366999.94000000006	445301.57000000007	501613.6400000002	388078.4400000001	440010.9	452591.6499999998	551515.45	596702.5800000001	516268.3	543663.8	578125.9200000004	506886.2600000001
Prenyltransferases [BR:ko01006]	111975.15	127077.78000000003	138920.65	133168.88	129562.12	127750.37000000001	93634.87000000002	116642.0	131949.38999999998	99616.87	110058.06999999999	114516.18000000001	144503.92	151002.58	135050.75000000003	141706.05999999997	146358.64	131347.09000000003
Primary bile acid biosynthesis [PATH:ko00120]	8522.7	11215.33	11126.27	10364.47	9393.86	9602.23	5820.27	7532.6	9758.77	6866.07	7669.7	7378.97	10366.17	10181.0	9639.17	11627.519999999999	10877.94	9561.939999999999
Primary immunodeficiency [PATH:ko05340]	30620.020000000004	33337.240000000005	34789.64	36140.5	33884.66	36098.73	22007.339999999997	29128.52999999999	36916.96	26980.5	27931.97	28454.050000000003	39610.65	42595.91	33933.0	38748.49	39198.58	33445.37
Prion disease [PATH:ko05020]	62233.450000000004	51262.08	71168.68	71347.98000000001	84960.43	74803.06999999999	39834.77	46487.85	52313.060000000005	44069.700000000004	51245.90000000001	50266.06999999999	59425.310000000005	72308.64	58769.23000000001	61031.06	65730.67000000001	60527.78000000001
Prodigiosin biosynthesis [PATH:ko00333]	129977.63	148054.37	154835.38	156327.38999999998	147143.42	151020.03	104517.46	130362.00000000001	142604.88	111776.02999999998	124413.72	128863.82	157078.01	165007.6	149649.93	158685.94999999998	160795.82	146252.56
Progesterone-mediated oocyte maturation [PATH:ko04914]	13765.95	15218.41	15869.4	16588.85	16204.98	16038.02	11135.19	13958.38	16646.14	12719.54	13175.07	13960.41	17994.739999999998	18793.79	16478.25	16965.469999999998	17551.85	15808.320000000005
Prokaryotic defense system [BR:ko02048]	224500.22	225242.34	281283.33000000013	267760.53	276505.39	264164.52	197810.0499999999	230163.49	256882.91999999998	199016.08999999997	229419.3	243162.18000000005	280004.69	296089.70000000007	263427.13	274049.2399999999	290008.3300000001	260405.55000000005
Prolactin signaling pathway [PATH:ko04917]	5813.53	8270.5	7547.7400000000025	7709.25	5742.06	6378.6	5806.75	6628.55	8299.01	5521.62	6039.37	7243.99	9085.99	8526.619999999999	7829.0	8215.02	8714.02	7132.46
