Pathway	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
 14- and 16-membered macrolides [PATH:ko00522]	272.0	197.0	102.0	185.0	62.0	223.0	208.0	244.0	522.0	372.0	265.0	301.0	316.0	231.0	427.0	369.0	278.0	386.0
 aspartate and glutamate metabolism [PATH:ko00250]	407769.95000000007	445136.58	497024.13000000006	489278.08	485160.23	478385.7199999999	325435.9	403814.06999999983	452309.73	355275.3599999999	390323.37000000005	410986.92	489802.48999999993	528795.33	465990.66000000003	490805.88999999996	513128.47999999986	458752.58
 diarylheptanoid and gingerol biosynthesis [PATH:ko00945]	908.17	1614.83	1311.0	1054.0	909.67	905.17	1000.5	1232.33	1248.84	903.67	1174.5	1146.9999999999998	1442.0	1388.17	1484.83	1503.98	1213.49	1339.6699999999996
 kanamycin and gentamicin biosynthesis [PATH:ko00524]	26647.78	31354.57	31489.2	33309.4	29119.94	31212.81	20777.47	25125.89	31034.040000000005	23038.04	24924.96	26613.52	33743.380000000005	34213.55	30878.58	33878.92	33104.95	29630.400000000005
 leucine and isoleucine biosynthesis [PATH:ko00290]	249906.11000000004	264203.99999999994	297046.32	294898.91000000003	295221.5399999999	289974.11	196062.22000000003	233660.25	266147.85	210068.90999999997	236416.63	243889.23000000004	291173.85000000003	316395.34	280506.14	293666.6	306703.54000000004	273429.44
 leucine and isoleucine degradation [PATH:ko00280]	534250.0699999998	580200.6900000002	644952.7900000002	628941.82	633628.9199999999	620101.69	387562.7999999999	507415.8199999999	574618.94	450292.2099999999	492931.0700000001	484493.32999999996	624147.4399999998	674900.0400000002	592530.4600000001	641296.79	651724.0200000001	594318.3500000001
 piperidine and pyridine alkaloid biosynthesis [PATH:ko00960]	58484.0	59842.810000000005	74181.13	69327.09	74333.75	68324.65999999997	43047.50000000001	55087.670000000006	63737.26999999999	50409.520000000004	54070.93	55428.52	65890.05	74427.48	64144.41	68846.03	69770.01000000001	65424.73
 secretion and action [PATH:ko04928]	224.0	83.0	92.0	111.0	98.0	113.0	174.0	165.0	218.7	348.0	180.0	176.0	174.0	191.0	289.0	303.0	154.0	187.77
 secretion and action [PATH:ko04935]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0
 serine and threonine metabolism [PATH:ko00260]	560453.5199999997	610290.4700000002	694725.65	679946.1399999998	670360.8500000002	654917.8999999999	431874.2100000002	550808.8099999999	628398.46	492520.49	533887.6500000003	547732.7999999999	667984.7599999999	718963.3200000003	631955.63	679314.0799999996	703886.1900000003	632808.4700000001
 suberine and wax biosynthesis [PATH:ko00073]	34.0	0.0	31.0	31.0	0.0	0.0	47.0	0.0	35.0	34.0	0.0	37.0	0.0	0.0	37.0	21.0	12.0	0.0
 tyrosine and tryptophan biosynthesis [PATH:ko00400]	322399.2400000001	345959.77	395866.8	384368.36	389736.57000000007	375552.0399999999	262282.05999999994	328503.9599999999	361803.36	284624.06000000006	311590.2300000001	327882.32999999996	389810.16999999987	418692.61000000004	376121.22000000015	388005.43	399525.85999999987	371628.42999999993
ABC transporters [PATH:ko02010]	1752466.4300000013	1793468.58	2086366.6800000018	2172662.9099999997	2244630.1599999997	2086833.3700000006	1265402.0000000012	1583716.230000003	1810516.0799999998	1477925.2900000017	1626765.3199999959	1659823.080000001	1943217.6800000009	2184752.010000002	1847749.5199999998	2001194.7199999997	2151302.1599999988	1829901.999999998
AGE-RAGE signaling pathway in diabetic complications [PATH:ko04933]	0.0	10.0	0.0	0.0	4.66	0.0	22.0	45.0	37.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	10.0
AMPK signaling pathway [PATH:ko04152]	47213.91	48080.47	54496.42	54507.82	54932.51	53759.14	37029.59999999999	44213.770000000004	54818.530000000006	40802.54	44458.03	45159.619999999995	59101.97	64954.17999999999	54962.25	58567.759999999995	59783.68	53338.11
Acarbose and validamycin biosynthesis [PATH:ko00525]	33481.06	39653.490000000005	44459.240000000005	41412.630000000005	41980.54	39302.34	27726.299999999996	38084.46	40703.57	30890.160000000003	33504.14	34056.91	45382.46	47469.92	41673.66	42743.73	44889.53	41185.130000000005
Acute myeloid leukemia [PATH:ko05221]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0
Adherens junction [PATH:ko04520]	74.0	44.0	55.0	43.0	75.0	117.0	36.0	86.0	27.0	26.0	34.0	110.0	101.0	45.0	40.0	141.0	167.0	96.0
Adipocytokine signaling pathway [PATH:ko04920]	69477.79000000001	79703.06	81764.1	81638.98999999999	76317.91	79401.63000000003	51499.57	67203.68	78811.95999999999	58487.479999999996	64636.92	63316.80000000001	86816.56	90501.65	80424.31999999999	88193.56000000001	87361.59999999999	80023.11
Adrenergic signaling in cardiomyocytes [PATH:ko04261]	65.0	64.0	0.0	14.0	7.0	93.0	98.0	64.0	62.0	34.0	72.0	87.0	55.0	13.0	48.0	31.0	103.0	19.0
African trypanosomiasis [PATH:ko05143]	8759.869999999999	8741.58	12523.73	10904.12	11920.07	11255.970000000001	5606.24	8213.8	9881.28	7690.4	7817.599999999999	7745.59	8914.75	10587.869999999999	8895.0	9727.269999999999	9719.51	9268.890000000001
Alanine	407769.95000000007	445136.58	497024.13000000006	489278.08	485160.23	478385.7199999999	325435.9	403814.06999999983	452309.73	355275.3599999999	390323.37000000005	410986.92	489802.48999999993	528795.33	465990.66000000003	490805.88999999996	513128.47999999986	458752.58
Alcoholism [PATH:ko05034]	7301.5	8989.33	8941.02	9030.970000000001	7393.18	7481.969999999998	5059.87	6945.6	7564.71	6233.33	6692.15	6980.77	8448.08	7586.0	7477.92	8993.470000000001	9124.43	7860.13
Aldosterone synthesis and secretion [PATH:ko04925]	15.0	21.0	0.0	14.0	7.0	35.0	30.0	0.0	20.0	0.0	16.0	22.0	36.0	0.0	26.0	17.0	26.0	0.0
Aldosterone-regulated sodium reabsorption [PATH:ko04960]	15.0	15.0	0.0	0.0	7.0	11.0	20.0	0.0	20.0	0.0	16.0	17.0	16.0	0.0	18.0	17.0	0.0	0.0
Alzheimer disease [PATH:ko05010]	71695.51000000001	62109.740000000005	85387.51999999999	81900.13	94444.44	84702.23999999999	48588.109999999986	59714.96	69084.77	55045.55	61285.12	61495.84999999999	72209.79000000001	84874.93	71382.81000000001	74529.78	77270.55	73733.22000000002
Amino acid metabolism	22967.49	26612.980000000003	32330.480000000003	28856.95	28888.07	27240.78	21579.93	27329.82	29907.370000000003	22450.690000000002	24973.880000000005	26131.739999999998	30496.9	31618.58	29989.85	29790.86	30868.36	29339.210000000003
Amino acid related enzymes [BR:ko01007]	599413.7600000001	627684.8500000001	729033.0400000002	711411.6000000002	726476.0500000004	698518.93	476107.36	590521.2599999998	664191.7499999997	523240.25999999995	563397.6600000003	592445.7900000002	709782.3599999999	772465.1900000002	681921.6299999998	704355.74	728832.9700000001	676380.9999999998
Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	509629.7500000001	564050.27	615940.7799999996	619853.9600000002	601582.9400000002	595791.6699999998	403928.93	487516.17999999993	570486.37	444146.72	478621.7900000001	502988.0099999999	613863.3699999996	656843.4400000001	576337.98	609466.9400000003	632981.5800000002	562666.4300000003
Aminoacyl-tRNA biosynthesis [PATH:ko00970]	419740.83000000013	451742.65000000026	509213.66	498507.9700000002	497467.86	489437.7099999999	345710.54000000004	421028.3800000001	466681.14999999997	366642.51999999996	402447.5700000001	425763.3000000001	504467.4699999999	541208.2299999999	489321.32	501052.8599999999	517206.05	480286.74000000005
Aminobenzoate degradation [PATH:ko00627]	141524.30999999997	147237.72000000003	168288.22	166095.47000000003	167127.88	159975.31999999998	99386.12999999998	129278.39000000001	145085.66	116303.4	130266.10999999999	126191.90000000001	159377.30000000002	171502.84	152121.06999999998	165106.37	177447.95	155940.44000000003
Amoebiasis [PATH:ko05146]	10819.75	12028.15	12598.09	13426.529999999999	13032.06	12459.63	8384.58	9961.130000000001	11492.34	9359.98	10202.62	10479.57	12183.58	12382.54	11619.84	11979.45	13762.16	11354.19
Amphetamine addiction [PATH:ko05031]	7301.5	8989.33	8941.02	9030.970000000001	7393.18	7481.969999999998	5059.87	6945.6	7564.71	6233.33	6692.15	6980.77	8448.08	7586.0	7477.92	8993.470000000001	9120.43	7860.13
Amyotrophic lateral sclerosis [PATH:ko05014]	101572.1	91309.24	116142.13	118522.34000000001	131961.79	122284.2	66901.33	80343.15000000001	91953.99000000002	77349.6	85098.55000000002	86195.76	103246.54000000001	121575.88999999998	99884.64000000001	104941.08	111076.99000000002	101387.85000000002
Antifolate resistance [PATH:ko01523]	77323.68000000001	81240.56000000001	95016.84999999999	90603.95999999999	92861.70000000001	90732.45999999999	60772.41	76755.13999999998	86322.07	67929.31	72985.58	75986.94	90205.22000000002	98992.61000000002	88269.33	92002.23999999999	93672.48999999999	88338.29000000002
Antigen processing and presentation [PATH:ko04612]	13765.95	15218.41	15869.4	16588.85	16204.98	16038.02	11135.19	13958.38	16646.14	12719.54	13175.07	13960.41	17994.739999999998	18793.79	16478.25	16965.469999999998	17551.85	15808.320000000005
Antimicrobial resistance genes [BR:ko01504]	183479.80000000005	186600.63	220540.75999999998	224297.75000000003	236055.63	223695.79999999996	121118.53999999992	153252.15000000002	194838.4200000001	159552.53999999995	160344.00000000006	165228.22000000003	203367.0599999999	227439.6500000001	187772.62999999998	205410.65999999997	222467.0700000001	189096.71000000005
Apelin signaling pathway [PATH:ko04371]	50.0	49.0	0.0	14.0	0.0	82.0	78.0	64.0	42.0	34.0	56.0	74.0	39.0	13.0	30.0	17.0	103.0	19.0
Apoptosis - fly [PATH:ko04214]	35307.94	29521.91	41404.95	39445.95	47041.59	42067.8	23385.09	28103.48	31662.680000000008	26187.11	29471.32	29631.049999999996	34485.73	40942.13	34519.41	34683.270000000004	36634.87	34868.87
Apoptosis - multiple species [PATH:ko04215]	24425.37	19413.5	28174.12	27439.19	33200.07	29352.85	14695.67	17756.5	19730.620000000006	16793.73	19565.1	18872.67	22071.15	27324.51	22186.99	23139.74	24239.750000000004	22736.160000000003
Apoptosis [PATH:ko04210]	26918.12	22001.91	32103.449999999997	31067.19	37347.9	33129.93	16388.67	21129.83	23531.410000000007	19569.309999999998	22059.019999999997	21441.579999999998	25679.730000000003	31414.01	25220.160000000003	25604.99	27713.340000000004	26015.600000000002
Arabinogalactan biosynthesis - Mycobacterium [PATH:ko00572]	9647.08	17525.58	16039.49	13304.3	7742.61	9792.5	9734.93	13275.730000000001	12992.01	9606.219999999998	11310.119999999999	12133.869999999999	16430.489999999998	12712.369999999999	15375.0	16137.5	16288.76	14005.26
Arachidonic acid metabolism [PATH:ko00590]	24929.11	22631.660000000003	27540.800000000003	29505.65	31207.26	29920.870000000003	15976.3	20229.58	24818.880000000005	20208.199999999997	21050.42	21643.970000000005	26433.740000000005	31045.16	25143.08	26207.93	27498.79	25255.710000000003
Arginine and proline metabolism [PATH:ko00330]	330002.64000000013	353579.9699999999	409120.76999999996	406781.2899999999	400937.8400000001	390896.50999999995	249934.75999999995	314962.00999999995	356408.1100000001	284163.64999999985	312595.5900000001	321967.82	378318.7799999999	414753.1500000001	361330.0399999999	389299.93000000005	418061.79000000004	360417.8600000001
Arginine biosynthesis [PATH:ko00220]	259853.96	281625.06	316699.5099999999	310670.0	308867.69000000006	303064.37	204935.51999999996	258315.56	289403.31000000006	228134.17000000007	249667.29000000004	261943.98999999996	311117.5299999998	331767.2999999999	295541.8600000001	313074.3100000001	326376.0199999997	291316.25999999995
Arrhythmogenic right ventricular cardiomyopathy [PATH:ko05412]	50.0	53.0	0.0	10.0	10.0	58.0	90.0	109.0	79.0	34.0	56.0	65.0	19.0	13.0	22.0	23.0	77.0	29.0
Ascorbate and aldarate metabolism [PATH:ko00053]	124218.25999999998	122601.97	149112.45999999996	148833.68000000002	157249.47000000003	146621.72000000006	83170.30000000003	106679.94000000005	130177.27999999998	102796.29000000001	110453.62999999999	109167.51	134176.84000000003	148907.80999999997	126595.82	138515.00000000003	147240.09000000003	128500.20999999999
Atrazine degradation [PATH:ko00791]	36310.53	35871.65	43754.14	42375.99	46420.78	41768.84	24611.250000000004	31108.739999999998	38342.11	30232.46	32415.010000000002	32325.989999999998	40337.57	45486.93	37084.41	42078.28	44890.479999999996	37113.9
Autophagy - animal [PATH:ko04140]	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	7.0	3.0	0.0	0.0
Autophagy - yeast [PATH:ko04138]	8310.279999999999	10242.0	10765.69	9501.6	8654.61	8423.869999999999	6980.51	9609.05	10392.78	7767.29	8433.95	8437.630000000001	11002.41	11371.42	10365.08	10982.19	10915.6	10830.31
Axon regeneration [PATH:ko04361]	10667.699999999999	9012.16	12921.9	11830.1	14379.98	11643.55	7652.4	9252.630000000001	10560.89	8572.15	9502.570000000003	9702.16	12239.99	14066.54	11004.25	11150.719999999996	12961.84	11822.570000000003
B cell receptor signaling pathway [PATH:ko04662]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0
Bacterial chemotaxis [PATH:ko02030]	355991.6200000001	296777.3	396742.13000000006	432370.8499999999	494000.1200000001	446862.33999999997	230343.51000000007	262426.4	316979.7100000001	273981.03	285022.91000000003	300419.30000000005	348507.6499999999	426318.45000000007	330403.63000000006	335209.2499999999	377157.24000000005	337577.38
Bacterial invasion of epithelial cells [PATH:ko05100]	94.0	56.66	3.0	44.67	15.8	82.04999999999997	158.40000000000006	155.23	115.07	64.06	235.9	143.8	41.67	51.9	58.67	69.39999999999999	126.5	85.0
Bacterial motility proteins [BR:ko02035]	992775.6599999996	792844.6099999998	1063201.2600000005	1169343.9099999995	1338896.88	1240182.45	644865.5000000007	704455.0599999995	871971.16	735404.6599999993	792479.4099999989	846668.2499999997	964326.9399999989	1180922.539999999	922646.2799999997	922703.5700000005	1033419.6800000011	943890.7399999996
Bacterial secretion system [PATH:ko03070]	463580.0800000001	417525.86999999994	525705.8400000003	546106.4100000003	599221.6599999999	566827.5499999999	310999.1399999999	363873.6599999999	442162.85999999975	368574.75	392534.92000000016	418471.3199999999	485354.33999999997	571201.6599999999	461640.59000000014	479098.2200000002	515852.34999999974	466273.31
Bacterial toxins [BR:ko02042]	29498.870000000003	32198.99	36432.89000000001	34923.7	35205.9	34950.12	20348.199999999997	27545.68	34768.18	26167.120000000003	27109.07	27057.500000000004	34162.14	36624.8	31326.33	36102.86	36294.85	31441.22
Basal transcription factors [PATH:ko03022]	3467.75	6142.0	4755.67	5006.83	2664.33	3703.97	3020.02	4807.25	5099.08	3502.39	3911.0	3779.5	5987.5	5421.25	5234.67	5964.08	5567.09	4935.5
Base excision repair [PATH:ko03410]	220632.56	245622.43000000002	266034.88	263817.98	256855.97999999998	258668.22000000003	169665.13999999998	216777.89	246540.36	190141.41	207559.34	212425.36000000002	268008.09	288520.29000000004	252303.59	266387.8	272695.45	250331.12000000008
Benzoate degradation [PATH:ko00362]	329735.00999999995	350406.26999999996	399544.5800000001	386509.6	398777.2499999999	378838.39999999997	223863.58	300476.82999999996	349726.15	275544.3900000001	300123.56999999995	288425.26000000007	372774.11000000004	403643.3299999999	353868.77999999997	393668.56000000006	400959.02	360144.32000000007
Betalain biosynthesis [PATH:ko00965]	12045.42	13133.33	14559.65	14146.1	13851.55	12703.89	9236.63	13318.85	17007.36	11936.699999999999	11947.65	11802.14	16866.92	18201.120000000003	14856.75	17561.370000000003	16974.84	14542.86
Bile secretion [PATH:ko04976]	1183.0	2116.0	1582.0	1234.0	979.0	1208.0	744.0	1260.0	1595.2	1252.0	1249.0	1196.0	1867.0	1619.0	1606.0	2132.0	2060.0	1148.6
Biofilm formation - Escherichia coli [PATH:ko02026]	185397.46999999997	160208.83	213459.9	216689.84000000005	247305.69	220826.45999999996	130724.86999999998	147006.46000000002	174518.43	147636.09000000003	160283.37999999995	167041.85	191271.65999999997	226056.08000000007	183139.90000000002	186714.54999999996	207842.38	185352.38
Biofilm formation - Pseudomonas aeruginosa [PATH:ko02025]	184800.86	151630.83000000002	197176.01999999996	221119.70000000007	247734.73000000004	239583.05000000005	121747.14	134772.69000000003	173278.62000000005	144581.26999999993	152716.8000000001	172332.76000000004	190935.1099999999	230510.2200000001	176456.46999999994	181541.93	204574.2200000001	174564.36000000004
Biofilm formation - Vibrio cholerae [PATH:ko05111]	286984.48	231085.7099999999	306784.48999999993	335729.62	383801.7600000001	360671.78	176320.00000000006	195655.21999999994	260037.18000000002	214838.1799999999	223033.08000000007	238248.15000000005	289101.14999999997	348967.87999999995	265651.1499999999	271757.26	300873.0900000001	270724.99000000005
Biosynthesis of 12-	272.0	197.0	102.0	185.0	62.0	223.0	208.0	244.0	522.0	372.0	265.0	301.0	316.0	231.0	427.0	369.0	278.0	386.0
Biosynthesis of ansamycins [PATH:ko01051]	33581.7	39751.740000000005	41488.02	37921.09	37014.57000000001	38215.869999999995	25831.57	33612.08	41264.93	31094.19	31857.02	33007.68000000001	40924.490000000005	42505.99	39162.42	44176.24000000001	42502.21	38263.78000000001
Biosynthesis of enediyne antibiotics [PATH:ko01059]	999.5	2555.5	1846.66	1246.5	1229.5	1231.3400000000004	708.0	968.0	935.34	786.66	914.0	922.5	1703.1599999999994	1505.5	1219.0	1806.0	2401.34	1260.8400000000001
Biosynthesis of siderophore group nonribosomal peptides [PATH:ko01053]	9057.750000000002	12519.66	13114.23	11151.570000000002	9264.839999999998	8996.81	7825.25	10873.08	12295.720000000001	9538.399999999998	9448.019999999999	10215.26	11733.75	10472.649999999998	11348.92	12853.800000000003	12480.180000000002	10884.749999999996
Biosynthesis of type II polyketide backbone [PATH:ko01056]	2177.0	3263.25	3102.5	2903.0	2303.5	2581.0	1857.75	2962.75	3538.5	2034.5	1853.25	2764.25	4391.75	2488.25	2313.0	5331.5	3517.7000000000003	3777.0
Biosynthesis of type II polyketide products [PATH:ko01057]	3853.5	7759.75	5576.5	6774.0	4839.16	4951.5	3002.75	4520.75	4719.0	3784.5	4093.75	4384.25	7168.75	5170.25	5241.5	7737.5	8699.18	5441.0
Biosynthesis of unsaturated fatty acids [PATH:ko01040]	43792.58	47174.23	53002.56999999999	52062.469999999994	52132.98	51310.12	34022.17	42061.91	48093.06	37363.89	42246.69	41824.689999999995	53978.83	59268.030000000006	50958.59	54430.39999999999	57254.62	50040.100000000006
Biosynthesis of vancomycin group antibiotics [PATH:ko01055]	24051.37	34299.32000000001	32350.709999999995	32539.920000000006	30683.690000000002	29184.06	20180.519999999997	27594.309999999998	28822.469999999998	22180.270000000004	25396.94	25042.790000000005	35434.979999999996	33956.8	31326.33	33043.340000000004	36619.34	30418.24
Biosynthesis of various secondary metabolites - part 1 [PATH:ko00999]	730.5	1017.75	972.5	1626.5	876.3299999999999	795.0	644.75	1008.75	1621.5	923.5	716.25	860.75	1371.25	1021.75	910.0	1854.5	1222.5100000000002	1105.5
Biosynthesis of various secondary metabolites - part 2 [PATH:ko00998]	35633.020000000004	37730.220000000016	40995.1	41138.840000000004	39977.3	38956.280000000006	26187.079999999998	33692.53	42234.960000000014	33292.49	31519.32	32629.37000000001	42995.42	45888.71	39226.69000000001	43011.74	43681.56000000001	39010.63000000001
Biosynthesis of various secondary metabolites - part 3 [PATH:ko00997]	4009.0	5425.75	4423.17	4129.75	2722.5	3651.75	2864.0	4226.0	8170.25	4960.25	4121.45	4006.75	5671.75	5591.0	5514.0	7345.55	5320.930000000001	4673.0
Biotin metabolism [PATH:ko00780]	242967.93000000002	259736.9	292657.75	288111.44000000006	287792.5500000001	283450.48	192177.20999999996	235455.68000000005	266102.95999999996	210110.20999999996	229419.24000000002	238637.41	287835.63999999996	311009.52	276499.37	287458.83999999997	295820.9	271414.93
Bisphenol degradation [PATH:ko00363]	412.5	362.0	341.5	266.0	358.0	400.0	360.0	384.5	274.0	249.0	320.0	406.0	303.0	342.0	397.0	364.0	499.5	360.0
Bladder cancer [PATH:ko05219]	10619.67	11453.5	12597.43	13084.75	12778.0	12417.64	6594.32	8940.05	10598.21	7893.33	9270.45	8760.17	12112.83	13545.62	11069.33	12356.3	12719.25	11129.36
Brassinosteroid biosynthesis [PATH:ko00905]	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	14.0	11.0	7.0	6.0	11.0	13.0	18.0	0.0	9.0	15.0
Breast cancer [PATH:ko05224]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0
Butanoate metabolism [PATH:ko00650]	509966.75000000006	551953.2100000002	613863.3099999998	604047.4899999996	606697.5399999999	594412.2899999999	378168.6299999999	477009.4699999996	541717.5000000001	428817.5800000001	470995.85000000027	472199.31	590653.4999999999	639612.53	563815.52	608940.5100000001	627187.3500000002	562873.5399999997
C-type lectin receptor signaling pathway [PATH:ko04625]	50.0	49.0	14.0	14.0	11.0	108.0	78.0	80.0	55.0	46.0	56.0	100.0	39.0	44.0	30.0	14.0	109.0	19.0
C5-Branched dibasic acid metabolism [PATH:ko00660]	146265.66000000003	157287.03000000003	177127.82	175449.34	171406.25	171033.82999999996	115349.71000000002	136939.77	156017.62000000002	124010.87000000002	137752.61000000002	143176.33	168302.0	182337.59000000003	165049.16	172720.78000000003	179091.09999999998	160878.62000000002
CD molecules [BR:ko04090]	8136.5	8562.58	12473.83	10167.34	9883.99	10505.17	5426.92	8389.75	10897.84	7774.83	7119.25	6882.42	9792.25	10317.75	8903.51	9663.5	9633.18	10293.84
Caffeine metabolism [PATH:ko00232]	2765.25	4784.5	3180.83	3597.0	2548.66	3174.42	2417.08	3391.75	3965.42	2697.58	2893.0	2794.5	4738.33	4780.75	3853.5	4719.25	4613.76	3414.17
Calcium signaling pathway [PATH:ko04020]	130.2	101.83	84.3	373.5	223.9	197.33	155.82999999999998	191.82999999999998	146.6	125.4	300.16999999999996	158.99	145.82999999999998	48.0	138.0	124.03	220.77	181.3
Caprolactam degradation [PATH:ko00930]	70578.36	78899.23000000003	88139.14	84605.74	83316.13	83065.95	49762.909999999996	64674.45000000001	72275.56999999999	59912.079999999994	65836.37	62171.740000000005	78529.74	83560.85999999999	77436.19	85623.09000000001	87988.34000000001	76238.93000000002
Carbapenem biosynthesis [PATH:ko00332]	29756.4	32440.649999999998	34823.4	34811.3	34128.56	34965.67	25539.370000000003	28965.29	32367.58	25174.58	29191.810000000005	31595.91	36194.31	38363.58	34964.5	35774.47	37029.53	33416.64
Carbohydrate digestion and absorption [PATH:ko04973]	5159.87	5492.58	7255.13	6333.0	5473.87	5928.23	3232.36	4934.98	8283.68	5240.03	4202.65	4758.049999999998	6323.91	6548.82	5051.83	6137.08	5703.77	5260.81
Carbohydrate metabolism	21255.28	31009.89	26929.88	26486.920000000006	17304.930000000004	22844.65	22744.39	28100.010000000002	32390.11	23536.39	24328.890000000003	27006.479999999996	31197.55	27687.370000000003	29327.93	32223.090000000004	28295.33	27654.170000000002
Carbon fixation in photosynthetic organisms [PATH:ko00710]	219913.02000000002	234978.56	276442.37	259450.94999999995	264803.07999999996	255489.53999999995	181003.71999999997	222750.32	250895.49999999997	193139.49000000002	212729.06000000003	222246.58	265103.61	287399.05000000005	255476.06000000003	265995.06	274296.14999999997	253257.04000000007
Carbon fixation pathways in prokaryotes [PATH:ko00720]	478419.15000000014	521897.9	584871.2	564753.52	557830.5800000002	553108.94	381912.17000000004	475232.6599999999	534097.1500000003	415195.75	453746.6300000001	472875.9100000001	572649.4899999999	609958.1699999998	551396.4800000001	579756.7000000001	588084.93	545813.6999999998
Cardiac muscle contraction [PATH:ko04260]	28091.160000000003	21727.0	30606.829999999998	31921.54	38892.56	33798.270000000004	17455.010000000002	19080.5	22370.08	19063.55	22645.600000000006	21977.010000000002	25391.239999999998	31695.010000000002	25812.239999999998	26719.25	28699.43	26885.430000000008
Carotenoid biosynthesis [PATH:ko00906]	28397.91	31460.720000000016	38011.35	33446.91	35018.48	29990.810000000012	24323.31000000001	30237.72000000001	30746.059999999998	23344.75	29075.77999999999	27647.820000000007	39849.53000000001	41105.43	33865.16	34403.30000000002	40850.85999999998	34100.86
Cationic antimicrobial peptide (CAMP) resistance [PATH:ko01503]	139699.83000000002	121685.02000000002	165808.62999999998	162385.39999999994	185492.31999999995	169780.09999999995	101015.13000000002	115522.41000000002	137924.29	117748.04999999999	122655.16999999997	130851.69000000002	142260.95	169244.47000000003	142584.33000000002	144669.78000000003	155440.94	143843.23
Cell adhesion molecules [BR:ko04515]	0.0	10.0	0.0	10.0	10.0	0.0	22.0	45.0	37.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	10.0
Cell adhesion molecules [PATH:ko04514]	202.0	240.0	751.0	359.0	57.66	129.0	279.0	323.0	270.0	152.0	239.0	189.0	317.0	155.0	293.0	357.0	222.0	597.0
Cell cycle - Caulobacter [PATH:ko04112]	252606.24000000005	255555.06000000003	308818.59	301736.26	315918.58	302120.8	198462.48000000004	240176.66999999998	258252.40000000002	208958.2	236696.23000000004	244292.66	277621.1	312056.43000000005	275221.73	285279.67000000004	295918.61	274698.2100000001
Cell cycle [PATH:ko04110]	0.0	0.0	0.0	2.0	0.0	2.5	5.0	6.5	0.0	4.5	2.5	4.0	0.0	5.5	0.0	3.0	5.5	3.0
Cell growth	70278.45000000001	76652.48000000001	81664.77000000021	105751.45000000001	70523.79000000021	80763.73	85373.33000000006	80179.59000000016	85496.62999999993	74867.50999999997	63432.71	107645.88000000021	69479.29000000001	68884.65999999999	70572.16	71441.40000000002	72412.26999999999	68871.55
Cell motility	14788.74	10831.33	15604.550000000001	16175.47	20372.64	17347.579999999998	7909.21	8766.4	11520.36	10539.789999999999	10958.7	10355.01	13026.16	16190.44	12391.33	12728.969999999998	14412.19	12992.360000000004
Cellular senescence [PATH:ko04218]	0.0	6.0	0.0	16.0	0.0	26.5	15.0	6.5	0.0	4.5	2.5	5.0	20.0	5.5	8.0	0.0	31.5	3.0
Central carbon metabolism in cancer [PATH:ko05230]	118407.85000000002	136827.86000000002	146634.5	144394.22	129974.18000000001	136173.6	100850.14	124338.26999999999	141025.33000000002	106333.18999999999	116508.68	123042.22	149574.76	157336.97999999998	141163.34	151104.05	152178.92	138201.85000000003
Chagas disease [PATH:ko05142]	6813.75	7069.08	9773.18	8402.77	8506.75	9248.220000000001	4842.57	7034.3	7405.59	5861.91	6378.4	6317.92	6713.33	7567.7	6850.59	7260.95	7502.84	7517.589999999999
Chaperones and folding catalysts [BR:ko03110]	576340.15	563980.62	665223.83	665558.3899999999	711334.6399999997	684444.9800000002	434140.19	510337.5399999997	597317.3700000001	479210.26	523105.8700000003	543933.7700000001	648027.3799999999	724288.6499999999	626250.94	647229.5900000003	673462.7900000003	618732.3099999999
Chemical carcinogenesis [PATH:ko05204]	101989.72000000002	84417.52	113598.78	116380.85	134831.77	125675.0	66701.59999999999	74249.89	86819.48	74674.19	85953.68999999997	84460.04999999999	97230.81	118149.42	94330.75	100793.26000000001	109993.02	96073.00000000003
Chemokine signaling pathway [PATH:ko04062]	74.0	44.0	55.0	43.0	75.0	117.0	36.0	86.0	27.0	26.0	34.0	110.0	101.0	45.0	40.0	141.0	171.0	96.0
Chloroalkane and chloroalkene degradation [PATH:ko00625]	111880.29000000001	118333.11000000002	138602.66	134369.67000000004	136139.57	130402.28999999998	82381.36	104590.02	114956.51000000001	93737.71	105782.65	103769.07	123913.10000000002	135511.43	120436.75	130295.30000000002	138081.1	121641.57
