FeatureID	FullPath	CompactPath	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
1787587e34767cff6fc726a6619d6cc0	Bacteria;Cyanobacteriota;Cyanobacteriia;Chloroplast;Incertae_Sedis;Incertae_Sedis;Unassigned	Bacteria;Cyanobacteriota;Cyanobacteriia;Chloroplast;Incertae_Sedis;Incertae_Sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	465	0	0
17ba084b082ca696e1ba036e3303ac9a	Bacteria;Actinomycetota;Actinobacteria;Propionibacteriales;Nocardioidaceae;Aeromicrobium;Unassigned	Bacteria;Actinomycetota;Actinobacteria;Propionibacteriales;Nocardioidaceae;Aeromicrobium	0	11	0	5	0	0	0	8	8	0	13	6	0	8	8	0	7	5
17d031e8f97d6e9b57d465ad70911409	Bacteria;Bacillota;Bacilli;Paenibacillales;Paenibacillaceae;Unassigned;Unassigned	Bacteria;Bacillota;Bacilli;Paenibacillales;Paenibacillaceae	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0
17f274fff5bad8612bfd5b4e75eb7046	Bacteria;Actinomycetota;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides;Unassigned	Bacteria;Actinomycetota;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17fbcf4ff0b12f1b0d956b13e887200d	Bacteria;Actinomycetota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Amycolatopsis;Unassigned	Bacteria;Actinomycetota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Amycolatopsis	61	226	293	53	97	151	55	43	36	67	91	0	81	131	71	258	77	64
18012830b13e32695feae325b6732aa9	Bacteria;Actinomycetota;Thermoleophilia;Gaiellales;Gaiellaceae;Gaiella;Unassigned	Bacteria;Actinomycetota;Thermoleophilia;Gaiellales;Gaiellaceae;Gaiella	16	27	15	0	17	23	19	24	13	0	21	20	26	25	19	16	19	16
180774ad6f04090785c9452ba718964b	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Ensifer;Unassigned	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Ensifer	54	53	95	92	79	65	85	88	79	67	91	121	30	42	56	83	95	67
18330162a0837a3b1db2dce4091390e3	Bacteria;Chloroflexota;Chloroflexia;Chloroflexales;Roseiflexaceae;Incertae_Sedis;Unassigned	Bacteria;Chloroflexota;Chloroflexia;Chloroflexales;Roseiflexaceae;Incertae_Sedis	0	15	0	0	11	0	0	15	0	0	0	0	0	0	0	0	0	0
184997dd6c08bda1b25d24573ac2b9d2	Bacteria;Actinomycetota;Thermoleophilia;Gaiellales;Gaiellaceae;Gaiella;Unassigned	Bacteria;Actinomycetota;Thermoleophilia;Gaiellales;Gaiellaceae;Gaiella	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0
187ad63be647bc354cfb63938eb52ef5	Bacteria;Chloroflexota;Chloroflexia;Chloroflexales;Roseiflexaceae;Incertae_Sedis;Unassigned	Bacteria;Chloroflexota;Chloroflexia;Chloroflexales;Roseiflexaceae;Incertae_Sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1881715907f8eeeaf5ae75946349ce12	Bacteria;Cyanobacteriota;Sericytochromatia;Incertae_Sedis;Incertae_Sedis;Incertae_Sedis;Unassigned	Bacteria;Cyanobacteriota;Sericytochromatia;Incertae_Sedis;Incertae_Sedis;Incertae_Sedis	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18a578e16ffc0ce57a72a02e7b837c87	Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae;Chryseobacterium;Unassigned	Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae;Chryseobacterium	0	0	0	3	0	0	0	22	13	9	12	4	0	0	14	0	0	8
18b6ccdc3bf1d402237b6cc7c15f5e4d	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Unassigned;Unassigned	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Comamonadaceae	0	0	0	0	0	9	0	0	0	5	0	0	0	0	8	8	0	7
18b8b2a598bf86c6affb0822b9319612	Bacteria;Bacillota;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus;Unassigned	Bacteria;Bacillota;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18e989871df2312cab35836aa831533a	Bacteria;Actinomycetota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Kibdelosporangium;Unassigned	Bacteria;Actinomycetota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Kibdelosporangium	7	17	0	0	289	0	0	8	0	12	0	7	17	11	12	0	52	0
18f8d16e5a6a08d983d4afb93a488ce0	Bacteria;Actinomycetota;Actinobacteria;Streptosporangiales;Streptosporangiaceae;Unassigned;Unassigned	Bacteria;Actinomycetota;Actinobacteria;Streptosporangiales;Streptosporangiaceae	0	78	38	62	0	18	25	51	23	35	42	12	16	59	45	19	0	41
1914baf07b325aeb3039577462a9a91b	Bacteria;NB1-j;Incertae_Sedis;Incertae_Sedis;Incertae_Sedis;Incertae_Sedis;Unassigned	Bacteria;NB1-j;Incertae_Sedis;Incertae_Sedis;Incertae_Sedis;Incertae_Sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
19429087536474c70f064484ff82fb18	Bacteria;Myxococcota;Polyangiia;Haliangiales;Haliangiaceae;Incertae_Sedis;Unassigned	Bacteria;Myxococcota;Polyangiia;Haliangiales;Haliangiaceae;Incertae_Sedis	0	0	0	12	0	0	0	0	0	0	0	11	0	0	0	0	0	0
19e9a2dd9a4e1a86be2bee92102028d4	Bacteria;Bacillota;Clostridia;Oscillospirales;Oscillospiraceae;Ruminiclostridium;Unassigned	Bacteria;Bacillota;Clostridia;Oscillospirales;Oscillospiraceae;Ruminiclostridium	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
19fe0bb92246f55b3e474e603c071bfc	Bacteria;Actinomycetota;Acidimicrobiia;Microtrichales;Incertae_Sedis;Incertae_Sedis;Unassigned	Bacteria;Actinomycetota;Acidimicrobiia;Microtrichales;Incertae_Sedis;Incertae_Sedis	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
