Genus	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Acidiferrimicrobium	0	0	0	0	0	0	7	0	0	0	0	0	7	0	0	0	0	0
Tissierella	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0
Neochlamydia	2	0	0	0	0	0	0	0	0	0	0	7	0	0	4	0	0	0
Candidatus_Nitrosocosmicus	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	3	0	0
Leptospira	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
Chryseolinea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
Geminicoccus	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus_Protochlamydia	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
Aquipuribacter	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
Actinokineospora	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
Alterococcus	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
RB41	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
Spirochaeta_2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0
Chryseotalea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
Coxiella	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Caldicoprobacter	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paracoccus	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
Candidatus_Xiphinematobacter	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
Rhodocytophaga	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
Ketobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
Sporobacter	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oligoflexus	0	0	0	0	0	0	0	4	0	0	0	0	0	3	0	0	0	0
Lacibacter	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
Sumerlaea	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
Kofleria	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
Limnochorda	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0
Pseudenhygromyxa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
Caldalkalibacillus	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KD3-10	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Candidatus_Entotheonella	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2
Candidatus_Solibacter	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
Haloplasma	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
CSP1-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
Bauldia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Aridibacter	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CL500-3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oxobacter	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteiniphilum	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Oscillatoria_PCC-6304	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Abditibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Legionella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
