#OTUID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
04f1fc22d0bdd13e0ad64896a76f5a1a	51.0	33.0	71.0	23.0	229.0	52.0	111.0	94.0	52.0	50.0	44.0	21.0	117.0	61.0	101.0	83.0	55.0	146.0
2ed9b4e1a2c0c66a956abb60c0bc21ac	64.0	49.0	79.0	199.0	140.0	198.0	0.0	0.0	63.0	46.0	0.0	0.0	130.0	129.0	61.0	77.0	81.0	66.0
827a683c6db670e0b8a9605e2e151eb1	58.0	107.0	103.0	77.0	49.0	60.0	55.0	100.0	72.0	51.0	70.0	67.0	70.0	65.0	86.0	99.0	58.0	102.0
180774ad6f04090785c9452ba718964b	54.0	53.0	95.0	92.0	79.0	65.0	85.0	88.0	79.0	67.0	91.0	121.0	30.0	42.0	56.0	83.0	95.0	67.0
e639b84897084271ffa758b826ad9075	52.0	129.0	112.0	58.0	100.0	42.0	42.0	52.0	47.0	29.0	42.0	50.0	106.0	70.0	63.0	144.0	68.0	49.0
ffa6233fddbce8efb643a3c7082987c6	76.0	52.0	107.0	96.0	143.0	92.0	38.0	33.0	41.0	44.0	51.0	62.0	40.0	101.0	46.0	70.0	83.0	64.0
e2d1e580c5b639b9e61828449c40dfab	39.0	89.0	102.0	42.0	36.0	46.0	54.0	55.0	87.0	44.0	83.0	33.0	72.0	114.0	82.0	76.0	64.0	91.0
0fc29f256ce2007a0279b6c01a3f4f6b	45.0	96.0	100.0	29.0	16.0	44.0	69.0	61.0	42.0	21.0	44.0	99.0	90.0	38.0	67.0	156.0	72.0	94.0
8e1dcba358617dc87ba3c52ab1b9083f	27.0	37.0	31.0	30.0	49.0	0.0	97.0	85.0	65.0	255.0	82.0	233.0	18.0	16.0	0.0	30.0	83.0	45.0
9e38d7a596c1f49b5b95690023774f80	62.0	77.0	72.0	80.0	64.0	87.0	47.0	86.0	66.0	43.0	80.0	36.0	49.0	76.0	63.0	53.0	72.0	53.0
a8bb1e813fcb2199b9c6b377d38c9cfb	76.0	78.0	81.0	112.0	108.0	88.0	40.0	47.0	43.0	50.0	58.0	39.0	53.0	48.0	53.0	59.0	60.0	64.0
72d302bbb09ea78e6de89ef2819eec78	70.0	153.0	55.0	53.0	86.0	93.0	66.0	108.0	28.0	43.0	39.0	78.0	72.0	0.0	44.0	42.0	81.0	45.0
ea0d40646f1926e944417d5378fda0c0	48.0	78.0	46.0	38.0	28.0	36.0	89.0	85.0	63.0	62.0	71.0	94.0	63.0	66.0	76.0	67.0	59.0	73.0
e759500b5167c578d64f2673499efbbe	0.0	0.0	0.0	0.0	0.0	132.0	0.0	0.0	0.0	0.0	0.0	968.0	0.0	0.0	0.0	0.0	0.0	0.0
fb9887c5b22c5f7ffe9411cfe83794f3	71.0	45.0	70.0	50.0	43.0	58.0	82.0	68.0	67.0	47.0	66.0	51.0	41.0	66.0	115.0	39.0	59.0	54.0
