Feature	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
P161-PWY	7210.40786381466	0.247066229857192	0.137437421846485	7.52361180556915	0.0232417301479289	0.0614021384313527
PWY0-1241	2537.68225673634	-0.0563316739292851	0.0952419495373392	7.42500137887561	0.0244163890584426	0.064072537730544
PWY-1269	10583.5243673126	-0.139929565580221	0.0649834656005421	7.39974478975722	0.0247266815202318	0.0644542164960709
PWY0-1298	4119.91062755903	-0.0659003812905461	0.102973984251494	7.37810773158878	0.0249956400882094	0.0647238097648337
PWY-6396	1112.81018171566	0.0340678086452014	0.155425817211792	7.11080348242868	0.0285698949061659	0.0734922954494135
PWY-7371	1510.18574257886	0.352790131625675	0.226094414824459	7.07120952997269	0.0291411281253218	0.0744717718758224
PWY-6151	9677.78419148553	-0.121686874531981	0.0492642522995885	6.98497146384886	0.0304251493318681	0.0772482687581847
RIBOSYN2-PWY	18110.9703913969	0.00110953257914756	0.00810328516949562	6.91613075745317	0.0314906255595544	0.0794376425405533
SALVADEHYPOX-PWY	25761.7309550483	-0.000499589809565296	0.0455812798076191	6.79801222485304	0.033406455727355	0.0837302832653578
GALACTARDEG-PWY	2779.84839559195	0.00907894905610305	0.118588630341904	6.63794742598702	0.0361899539812948	0.089558683586622
GLUCARGALACTSUPER-PWY	2779.84839559195	0.00907894905610305	0.118588630341904	6.63794742598702	0.0361899539812948	0.089558683586622
FASYN-ELONG-PWY	25322.2066889424	-0.0617355918032865	0.0255060787968792	6.58736178774876	0.0371169739966296	0.0901412225632433
GLUCARDEG-PWY	2898.79326838983	0.0315132780888367	0.113589885165417	6.60912671132775	0.0367152398383887	0.0901412225632433
PWY-7391	939.677958503859	0.576840278275512	0.29511707448941	6.59711439808734	0.0369364208782847	0.0901412225632433
PWY-7374	1682.45636004059	0.35109698455656	0.217355707311825	6.56534345691682	0.0375278585008516	0.0905764979866232
GALLATE-DEGRADATION-I-PWY	3509.6977815717	-0.159015090899938	0.122324602954465	6.46219624002129	0.0395140837492326	0.0947853174598156
PWY-6467	10552.3857658766	-0.128519548712069	0.0707267979011139	6.42453427091738	0.0402652229992983	0.0959981841019855
HEXITOLDEGSUPER-PWY	1346.10718773787	-0.291589789127725	0.197358616839752	6.39598710368932	0.0408440733331881	0.0967880768077367
PWY-7090	2407.96365437809	-0.17278075959327	0.10553120822461	6.34486300625608	0.0419015900901706	0.0986959140075705
PWY-5103	23233.8087112533	-0.00557735797017226	0.0115298546224533	6.318359032443	0.0424605649971346	0.0994136581669438
PWY-1422	78.635454377398	1.99734372929106	1.35546271744261	6.30640616123924	0.0427150876409729	0.0994142813548833
