Feature	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Description
EC:1.8.7.2	526.201275982953	2.71522348306077	0.374134998198472	60.3619560727174	7.80850297981906e-14	9.55106049411608e-12	Ferredoxin:thioredoxin reductase
EC:2.1.1.35	387.489580120082	-0.260754879291333	0.264586320431383	60.6907007591883	6.62493739702847e-14	9.55106049411608e-12	tRNA (uracil(54)-C(5))-methyltransferase
EC:2.5.1.84	516.22631857146	2.82042131286611	0.384861979863598	60.3183631022746	7.98056930806145e-14	9.55106049411608e-12	All-trans-nonaprenyl-diphosphate synthase (geranyl-diphosphate specific)
EC:2.5.1.85	516.22631857146	2.82042131286611	0.384861979863598	60.3183631022746	7.98056930806145e-14	9.55106049411608e-12	specific)
EC:3.1.3.77	2253.1663429174	0.568981661800789	0.0933209761245758	61.6564521025243	4.08762963479278e-14	9.55106049411608e-12	Acireductone synthase
EC:4.1.99.5	516.22631857146	2.82042131286611	0.384861979863598	60.3183631022746	7.98056930806145e-14	9.55106049411608e-12	Aldehyde oxygenase (deformylating)
EC:2.7.1.182	604.275779852314	1.99250981832747	0.295811918626147	59.9084042149222	9.79614748347194e-14	1.09613734472954e-11	Phytol kinase
EC:1.1.1.376	158.095634506806	-1.31495113592128	0.244465696482983	59.1980967102291	1.3973224278284e-13	1.48535374078159e-11	L-arabinose 1-dehydrogenase (NAD(P)(+))
EC:1.14.14.5	14119.1287168533	-0.122698008087877	0.0299222940071167	57.2971864783075	3.61471483892936e-13	3.65946845122086e-11	Alkanesulfonate monooxygenase
EC:1.13.11.75	629.418652554779	1.91648407651217	0.290116274548081	55.5993693297748	8.44793087090125e-13	8.16377319615276e-11	All-trans-8'-apo-beta-carotenal 15,15'-oxygenase
EC:2.1.1.295	560.971964950381	2.4623746132694	0.368507710233611	54.8203278468866	1.24714531612322e-12	1.15279606177303e-10	2-methyl-6-phytyl-1,4-hydroquinone methyltransferase
EC:3.1.2.28	1332.08319252112	1.1048197190303	0.17861674119401	54.1590820419562	1.73582029634628e-12	1.53764747918008e-10	1,4-dihydroxy-2-naphthoyl-CoA hydrolase
