Feature	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Description
K10217	1007.45653089615	0.138630185453446	0.200184922529901	1.27761916650553	0.527920495534561	0.649351037545923	dmpC, xylG, praB; aminomuconate-semialdehyde/2-hydroxymuconate-6-semialdehyde dehydrogenase [EC:1.2.1.32 1.2.1.85]
K16260	95.8946905981638	-0.0810944690653257	0.266297491391229	1.27752709941367	0.527944798146302	0.649351037545923	mxaD; mxaD protein
K16191	565.944668197197	0.127770922846683	0.233804965823436	1.2762111039259	0.528292298947212	0.649660629457841	K16191, arfA; peptidoglycan-binding protein ArfA
K07025	38896.6941846009	0.0283552453017623	0.0285532286358788	1.27544812048654	0.528493876532476	0.649790694460343	K07025; putative hydrolase of the HAD superfamily
K03701	26117.3364776423	0.000478171441627562	0.0326849161674632	1.27469749654904	0.528692263835987	0.649916790526675	uvrA; excinuclease ABC subunit A
K00677	11598.9925267643	-0.0326657516839458	0.0547716857595709	1.2737798663635	0.528934891482423	0.650037053184966	lpxA; UDP-N-acetylglucosamine acyltransferase [EC:2.3.1.129]
K00691	969.342266158023	0.0673553869672566	0.336898425701198	1.27324019246333	0.529077636918463	0.650037053184966	mapA; maltose phosphorylase [EC:2.4.1.8]
K01659	3238.69130741542	-0.0579612265581272	0.107032406723461	1.2735492159199	0.528995894533627	0.650037053184966	prpC; 2-methylcitrate synthase [EC:2.3.3.5]
K09990	2222.09894226544	-0.113128145264657	0.101065751412303	1.27003876137141	0.52992521790395	0.650960483214017	K09990; uncharacterized protein
K19344	274.671419580538	0.227801394761116	0.321629939877205	1.2692006924101	0.530147321373677	0.65099748932759	nirC; cytochrome c55X
K19345	274.671419580538	0.227801394761116	0.321629939877205	1.2692006924101	0.530147321373677	0.65099748932759	nirF; protein NirF
K03212	450.801986068317	-0.219416391179092	0.195844253016309	1.26880101845975	0.530253274997149	0.651009723213371	rumB; 23S rRNA (uracil747-C5)-methyltransferase [EC:2.1.1.189]
K05984	432.935584481488	0.312465923855129	0.280337936279752	1.26749725569533	0.53059904992485	0.651316336034449	cho; excinuclease Cho [EC:3.1.25.-]
K03289	0.630205053877935	-0.0486689295713229	3.42617234867189	1.2667014223267	0.530810226151984	0.651339778136919	nupG; MFS transporter, NHS family, nucleoside permease
K05714	179.395503780213	0.411902354953181	0.388203885594994	1.26696774581043	0.530739547243636	0.651339778136919	mhpC; 2-hydroxy-6-oxonona-2,4-dienedioate hydrolase [EC:3.7.1.14]
K08162	202.727212621677	-0.0744583326228638	0.213951260688391	1.26483895580543	0.53130476451921	0.65182867456029	mdtH; MFS transporter, DHA1 family, multidrug resistance protein
