Feature	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	sig
GALLATE-DEGRADATION-I-PWY	3509.6977815717	-0.311299324010958	0.12246884882389	6.46219624002089	0.0395140837492404	0.0947853174598344	Not Significant
GALLATE-DEGRADATION-II-PWY	1231.49735736069	0.215834452075669	0.2534689601454	0.93924955191676	0.625236828163329	0.73857280909928	Not Significant
GLCMANNANAUT-PWY	427.832879465909	-0.0873369195503443	0.211808913548264	5.01219660086645	0.0815859428837732	0.157921305284927	Not Significant
GLUCARDEG-PWY	2898.79326838983	-0.238686549976076	0.113817890666347	6.60912671132803	0.0367152398383835	0.0901412225634815	Not Significant
GLUCARGALACTSUPER-PWY	2779.84839559195	-0.263356907226288	0.118818575681719	6.63794742598662	0.036189953981302	0.0895586835866398	Not Significant
GLUCONEO-PWY	19513.5281501752	-0.0234459021606746	0.00963776973196536	12.7141656852936	0.00173441891212586	0.00664860582981579	Not Significant
GLUCOSE1PMETAB-PWY	6526.50027801805	-0.156322106828541	0.101984317891153	2.99488640178191	0.223701389090736	0.333844439444572	Not Significant
GLUCUROCAT-PWY	3387.83298690091	-0.153831016788872	0.0691747029781401	24.264154518293	5.38400918767119e-06	4.12774037721458e-05	Not Significant
GLUTORN-PWY	18974.7242800634	-0.0177295527146874	0.00935209094186272	4.1843059348555	0.123421127898752	0.213657192189308	Not Significant
GLYCOCAT-PWY	12973.2945816629	0.0844773536757682	0.0335570481535208	12.5043822969935	0.00192622885534853	0.00724187963885843	Not Significant
GLYCOGENSYNTH-PWY	13551.0723745264	0.0728253197240159	0.0320819924445241	5.54348412790017	0.0625529385503749	0.132924994419547	Not Significant
GLYCOL-GLYOXDEG-PWY	16.5979733588112	1.29592614050833	2.00377197679826	0.77075699823672	0.680193134973765	0.78222210521983	Not Significant
GLYCOLYSIS	19115.782058471	0.0364275811819258	0.0138431133078034	14.3901031812735	0.000750289376409324	0.00318872984973962	Not Significant
GLYCOLYSIS-E-D	17788.412462021	0.0536324032325882	0.0170701284411556	14.8051995948945	0.000609665691685026	0.00277185215638192	Not Significant
GLYCOLYSIS-TCA-GLYOX-BYPASS	18493.3445094453	-0.0533675146759715	0.0120987723488005	20.0967686687046	4.32555791874478e-05	0.000268459229560192	Not Significant
GLYOXYLATE-BYPASS	16727.7649363526	-0.116923854167245	0.0144873803589828	65.1910802437572	6.98130786919429e-15	2.72969137685497e-13	Not Significant
GOLPDLCAT-PWY	24.4736055035163	0.0791672729946941	1.26423503829511	0.099404141235425	0.951512865916236	0.953952642495508	Not Significant
HCAMHPDEG-PWY	182.704864279559	-0.0117232552255797	0.559458685437435	0.290646676784178	0.864742643406545	0.894482469767088	Not Significant
HEME-BIOSYNTHESIS-II	13325.4766429456	-0.0743801206732822	0.0430606140335358	3.52979198825892	0.171204591841609	0.271016175749268	Not Significant
HEMESYN2-PWY	18507.0603334742	-0.00643474361303546	0.0102636217459427	0.44574570670531	0.800216587682843	0.861941283151492	Not Significant
HEXITOLDEGSUPER-PWY	1346.10718773787	0.208216469332182	0.197275763952415	6.39598710368938	0.0408440733331869	0.0967880768077339	Not Significant
HISDEG-PWY	14301.6039253751	-0.144313245127586	0.0387945966652514	13.8533690772264	0.000981248773687963	0.00408157734587227	Not Significant
HISTSYN-PWY	16805.4338357088	-0.00173518273430686	0.0204693796980049	0.341056450235328	0.843219289329074	0.884788178369258	Not Significant
HOMOSER-METSYN-PWY	9978.11370687142	0.123555956868346	0.100100158353307	2.19744794111313	0.333296108115912	0.454072398164884	Not Significant
HSERMETANA-PWY	19524.4442046303	-0.123200383889811	0.0220578750040459	31.5640576565411	1.39943253552997e-07	1.47885978754653e-06	Not Significant
ILEUSYN-PWY	31549.3268232462	-0.0133623376782163	0.0100715020628939	2.47255210638713	0.290463878424679	0.40416859951619	Not Significant
KDO-NAGLIPASYN-PWY	42.4245792561384	3.56260361662469	1.98889320396117	2.836523777483	0.242134508075509	0.355919521268887	Not Significant
KETOGLUCONMET-PWY	3608.85864763154	-0.0928091556582064	0.0903088139422232	1.32526707993026	0.515491976593617	0.633143367499001	Not Significant
LACTOSECAT-PWY	6.26043992276961	6.53749572161706	3.63391563224977	2.90057782840938	0.234502527194583	0.347375237412531	Not Significant
LEU-DEG2-PWY	16447.1598605431	-0.215433561459998	0.0382046725823387	31.9796414489761	1.13686551415923e-07	1.27004118867502e-06	Not Significant
LIPASYN-PWY	78.5042801322014	-0.814393064496382	0.925742020242984	3.94406905837468	0.139173415602577	0.230579684324608	Not Significant
LPSSYN-PWY	2.66439707660496	1.52236323053742	2.07905910919224	0.889890228859642	0.640859449003329	0.749612968316222	Not Significant
MET-SAM-PWY	13318.3602623807	0.0988658081484626	0.0614949387331415	3.30640061367802	0.191436272420564	0.295856057377236	Not Significant
METH-ACETATE-PWY	9.10553704720772	1.21514805334491	2.69542825189855	1.871948835086	0.392203509294576	0.516335259711041	Not Significant
METHANOGENESIS-PWY	1.17482133914107	3.59611830337114	3.65579601042371	1.26504996761666	0.531248711685876	NA	Not Significant
METHGLYUT-PWY	23.7569376130993	1.57951067060744	1.65450754686717	1.86212466270385	0.394134786152619	0.517136581831121	Not Significant
METHYLGALLATE-DEGRADATION-PWY	4025.25525492843	-0.248670194927481	0.107089870993917	5.41132920798918	0.0668258963272344	0.138983646084833	Not Significant
NAD-BIOSYNTHESIS-II	4723.10914771469	-0.345865501371078	0.115776902012855	8.90640680919836	0.0116412156528828	0.0339680247781878	Not Significant
NADSYN-PWY	4677.49321402643	0.0847071423863878	0.134272382348704	0.481498508853065	0.786038697403919	0.853725363013701	Not Significant
NAGLIPASYN-PWY	10926.3796247878	-0.094120103609519	0.0656922451509528	2.39010731938293	0.302687711617145	0.418201043259024	Not Significant
NONMEVIPP-PWY	16038.8954099248	-0.0354124617907859	0.0178019361710174	5.23486560983457	0.0729900020876097	0.145795554083689	Not Significant
NONOXIPENT-PWY	23676.2016413906	0.00653037860498785	0.0147014003103971	0.217633300995715	0.896894847647472	0.920435394829821	Not Significant
OANTIGEN-PWY	18006.0291133169	-0.0326114663039487	0.00906522584490262	16.035203542421	0.000329609554820101	0.00168989313350589	Not Significant
ORNARGDEG-PWY	15.6433416064744	5.59558602859632	1.5898853830694	16.377768782589	0.0002777235422814	0.00146743114908145	Up
ORNDEG-PWY	831.025924584912	0.366966384844204	2.61038222981729	0.375574564327366	0.828790987108616	0.87820399989016	Not Significant
P101-PWY	3597.43176250571	0.0667073736733948	0.119128299461004	0.40925451076572	0.814951028413465	0.870172562663339	Not Significant
P105-PWY	23676.3490289069	-0.0652030808581405	0.0096168894249548	46.1131923063626	9.69722604388182e-11	2.10645299064322e-09	Not Significant
P108-PWY	17135.918405898	0.065092349661049	0.0418806796142797	2.57309381838866	0.276222961132397	0.394104525193261	Not Significant
P122-PWY	6159.93722936907	0.213510187590889	0.0889917008013799	8.93207476494553	0.011492767178575	0.0337870072693447	Not Significant
P124-PWY	12245.8057667667	0.188779714059282	0.0673537600038457	13.7931195853636	0.00101125839028483	0.00416212663790914	Not Significant
P125-PWY	959.971323401745	0.814424327019409	0.246613026180233	11.5632129295807	0.00308375747912158	0.010576747143303	Not Significant
P161-PWY	7210.40786381466	0.373368748810461	0.137460243598754	7.52361180556812	0.0232417301479408	0.0614021384313841	Not Significant
P162-PWY	1.4648009814123	0	3.72494504855322	2.98990803324385	NA	NA	Not Significant
P163-PWY	2272.20287313391	-0.118200957638202	0.136170454800611	0.780886645596297	0.676756786272947	0.78056608682219	Not Significant
P164-PWY	983.30215100651	1.06987429831113	0.235125075059907	21.5577867142944	2.0834644473399e-05	0.00013577243315165	Up
P184-PWY	3261.81894161168	-0.406462456890338	0.117096802798984	12.1875506176624	0.00225687242062209	0.00832487845720036	Not Significant
