function	description	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
K12068	traL; conjugal transfer pilus assembly protein TraL	193.0	61.0	124.6	124.0	193.5	124.3	13.4	48.8	21.0	17.83	19.4	55.5	62.0	58.2	49.0	23.2	50.0	75.0
K12069	traA; conjugal transfer pilus assembly protein TraA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.2	0.0	0.0	0.0	0.0	2.8	0.0	0.0
K12070	traI; conjugal transfer pilus assembly protein TraI	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.2	0.0	0.0	0.0	0.0	2.8	0.0	0.0
K12071	traD; conjugal transfer pilus assembly protein TraD	15.0	13.0	14.0	8.0	14.0	8.0	10.0	23.0	9.0	25.0	37.2	11.0	13.0	23.0	15.0	7.8	27.0	23.0
K12072	traH; conjugative transfer pilus assembly protein TraH	318.0	151.0	280.6	244.0	468.5	325.3	104.4	102.8	81.0	99.83	127.4	103.5	135.0	179.2	146.0	199.2	191.0	176.0
K12073	E3.1.2.28; 1,4-dihydroxy-2-naphthoyl-CoA hydrolase [EC:3.1.2.28]	42.0	74.33	183.0	66.0	139.0	145.33	986.33	586.33	653.0	255.0	796.17	1029.99	887.33	889.0	709.0	531.3299999999998	1054.67	302.0
K12111	ebgA; evolved beta-galactosidase subunit alpha [EC:3.2.1.23]	27.0	48.0	30.93	20.0	18.5	85.97	84.4	0.8	14.67	10.33	1.2	29.5	45.33	10.2	0.0	0.4	9.67	13.67
K12112	ebgC; evolved beta-galactosidase subunit beta	27.0	25.0	30.93	20.0	18.5	70.97	0.4	0.8	14.67	10.33	1.2	13.5	34.33	10.2	0.0	0.4	9.67	9.67
K12113	ebgR; LacI family transcriptional regulator, ebg operon repressor	0.0	0.0	0.6	0.0	0.5	0.3	0.4	0.8	0.0	0.0	1.2	6.5	0.0	1.2	0.0	0.4	0.0	0.0
K12130	PRR5; pseudo-response regulator 5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	9.0	0.0	0.0	12.0	6.0	0.0	0.0
