function	description	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
EC:2.5.1.84	All-trans-nonaprenyl-diphosphate synthase (geranyl-diphosphate specific)	40.0	74.33	173.0	38.0	117.0	136.33	986.33	577.33	641.0	255.0	781.17	995.99	867.33	868.0	683.0	511.33	1054.67	299.0
EC:2.5.1.85	specific)	40.0	74.33	173.0	38.0	117.0	136.33	986.33	577.33	641.0	255.0	781.17	995.99	867.33	868.0	683.0	511.33	1054.67	299.0
EC:2.5.1.86	Trans,polycis-decaprenyl diphosphate synthase	57.0	64.0	55.0	42.0	10.0	13.0	37.0	48.0	55.0	42.0	22.0	46.0	36.0	0.0	85.0	22.0	27.5	33.0
EC:2.5.1.89	diphosphate specific)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	3.0	0.0	0.0
EC:2.5.1.9	Riboflavin synthase	15012.45	16134.66	18432.2	17733.4	17643.78	17545.92	12579.52	15368.98	17106.04	13252.04	14543.070000000003	15532.46	18335.49	19879.29	17828.75	18104.57	18639.93	17518.070000000003
EC:2.5.1.90	All-trans-octaprenyl-diphosphate synthase	11418.2	9483.83	13472.98	12723.1	15289.15	13692.72	7866.07	9740.3	10948.89	9243.65	9666.4	9980.17	11417.41	13530.54	11749.75	11497.889999999998	11979.17	12035.070000000003
EC:2.5.1.97	Pseudaminic acid synthase	0.0	12.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	5.0
EC:2.6.1.1	Aspartate transaminase	8808.699999999999	9533.91	14286.95	11616.72	13326.2	10860.2	8925.5	12030.73	11816.0	9455.9	10366.37	11434.71	10810.99	12678.04	11503.34	11210.429999999997	11987.84	11796.22
EC:2.6.1.100	L-glutamine:2-deoxy-scyllo-inosose aminotransferase	15.0	18.0	36.0	0.0	7.0	9.0	0.0	28.0	0.0	14.0	9.0	17.0	34.0	0.0	24.0	24.0	7.0	20.0
EC:2.6.1.101	L-glutamine:3-amino-2,3-dideoxy-scyllo-inosose aminotransferase	15.0	18.0	36.0	0.0	7.0	9.0	0.0	28.0	0.0	14.0	9.0	17.0	34.0	0.0	24.0	24.0	7.0	20.0
EC:2.6.1.102	GDP-perosamine synthase	1356.5	2183.0	2506.47	2471.5	1799.3	1711.9	1293.6	1853.3	1722.4	1284.5	1811.5	1516.8	2162.0	1647.0	2073.0	1804.1	2055.5	2166.5
EC:2.6.1.103	(S)-3,5-dihydroxyphenylglycine transaminase	300.0	720.0	543.0	571.5	485.5	335.5	277.5	377.5	480.5	286.0	361.0	354.5	630.5	500.0	484.5	606.0	360.5	477.5
EC:2.6.1.106	dTDP-3-amino-3,4,6-trideoxy-alpha-D-glucose transaminase	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	14.0	0.0	0.0	51.0	16.0	0.0	0.0	0.0	0.0	0.0
EC:2.6.1.109	8-amino-3,8-dideoxy-alpha-D-manno-octulosonate transaminase	533.0	448.0	460.0	382.0	205.0	289.0	430.0	596.0	1407.0	918.0	573.0	507.0	709.0	851.0	788.0	1266.0	541.0	559.0
EC:2.6.1.11	Acetylornithine transaminase	17914.62	18050.66	20982.83	20469.23	21331.75	20172.99	13997.79	17088.78	18939.45	15535.71	16496.27	17494.43	20642.990000000005	22697.959999999995	19661.41	20139.79	21418.42	19799.24
EC:2.6.1.13	Ornithine aminotransferase	6712.17	9073.0	9844.3	8265.3	7356.8	7358.57	6127.6	8563.1	10451.24	7215.67	7084.5	6943.47	9791.5	10290.17	9250.83	10647.75	9212.67	9033.67
EC:2.6.1.16	Glutamine--fructose-6-phosphate transaminase (isomerizing)	23079.45	26150.16	28541.2	28655.06	27370.11	27670.76	17898.52	22714.98	25950.58	19853.04	22139.07	22708.960000000006	28396.48	30640.13	26393.91	28196.809999999994	29901.43	26310.340000000004
EC:2.6.1.17	Succinyldiaminopimelate transaminase	17829.87	17573.329999999998	19280.31	20269.61	21575.9	20760.81	11896.99	14659.05	16418.52	13931.4	14986.049999999996	15227.84	19337.74	21507.459999999995	17667.16	18913.81	19892.67	18215.930000000004
EC:2.6.1.18	Beta-alanine--pyruvate transaminase	9087.17	6951.5	9910.16	10554.53	12564.17	10908.84	5441.17	6203.0	7053.71	6347.5	7336.9	7212.17	7950.33	10277.17	8158.83	8337.75	9252.16	8477.61
EC:2.6.1.19	4-aminobutyrate--2-oxoglutarate transaminase	9233.75	12739.41	11221.59	11105.27	9758.38	9813.05	7375.01	10299.7	11179.61	9166.98	9333.22	9668.55	12860.49	12763.58	11553.58	12997.65	14046.32	10924.1
EC:2.6.1.2	Alanine transaminase	8162.62	6738.0	8505.810000000001	8801.18	9918.32	9455.89	4534.07	5980.3	9363.56	6635.98	6624.9000000000015	6320.67	8681.08	9857.87	7889.58	9138.049999999996	8931.19	7913.410000000002
EC:2.6.1.21	D-amino-acid transaminase	5927.17	4993.0	6595.93	6170.63	7606.27	6522.969999999998	4468.87	4322.9	4651.34	4251.17	4933.0	5207.27	5306.0	6740.17	5730.33	5928.35	5746.49	5780.440000000001
EC:2.6.1.22	(S)-3-amino-2-methylpropionate transaminase	5820.75	7417.33	6149.07	6363.0	5920.8	5952.950000000002	4177.92	5954.85	6549.99	5035.42	5386.7	5172.969999999998	7986.83	8420.29	7079.83	7600.41	7900.74	6520.0
EC:2.6.1.30	Pyridoxamine--pyruvate transaminase	44.0	52.0	19.0	51.0	60.0	98.0	13.0	20.0	38.0	21.0	33.0	26.0	52.0	47.0	36.0	42.0	37.0	22.0
EC:2.6.1.33	dTDP-4-amino-4,6-dideoxy-D-glucose transaminase	51.0	28.0	0.0	23.0	0.0	39.0	41.0	40.0	113.0	86.0	53.0	59.0	63.0	45.0	83.0	69.0	54.0	75.0
EC:2.6.1.36	L-lysine 6-transaminase	143.0	297.0	200.0	259.0	85.0	226.0	153.0	258.0	174.0	164.0	193.0	180.0	192.0	146.0	274.0	257.0	157.5	207.0
EC:2.6.1.37	2-aminoethylphosphonate--pyruvate transaminase	1152.0	404.33	635.88	737.43	1052.05	628.4	526.21	746.3	471.94	563.3299999999998	642.45	639.4699999999998	948.75	1114.0	610.9200000000002	696.0699999999998	1122.42	856.6899999999998
EC:2.6.1.40	(R)-3-amino-2-methylpropionate--pyruvate transaminase	0.0	0.0	0.0	0.0	0.0	0.0	12.0	13.0	8.0	0.0	0.0	9.0	0.0	0.0	12.0	6.0	12.0	0.0
EC:2.6.1.42	Branched-chain-amino-acid transaminase	22261.73	24649.910000000003	28646.47	26326.320000000003	26333.81	25998.32	19092.54	25639.7	27737.87	20843.11	22419.15	23193.52	28258.74	30566.21	27697.92	28320.88	27933.360000000004	27313.7
EC:2.6.1.44	Alanine--glyoxylate transaminase	4044.42	3746.08	4854.83	4573.33	4868.0	4287.75	3351.5	3750.83	3289.12	2898.42	3879.92	3812.41	3978.58	4436.67	4304.0	4468.06	4046.41	4524.940000000001
EC:2.6.1.45	Serine--glyoxylate transaminase	4022.42	3732.08	4848.83	4573.33	4868.0	4267.75	3315.5	3728.83	3260.12	2886.42	3864.92	3765.41	3957.58	4417.67	4243.0	4449.06	4013.41	4506.940000000001
EC:2.6.1.48	5-aminovalerate transaminase	58.0	44.0	40.5	46.2	179.5	55.0	110.0	315.0	70.0	351.0	133.89999999999998	349.0	21.5	24.0	72.5	35.6	185.5	75.5
EC:2.6.1.51	Serine--pyruvate transaminase	4022.42	3732.08	4848.83	4573.33	4868.0	4267.75	3315.5	3728.83	3260.12	2886.42	3864.92	3765.41	3957.58	4417.67	4243.0	4449.06	4013.41	4506.940000000001
EC:2.6.1.52	Phosphoserine transaminase	15079.95	15930.66	18288.45	17752.4	17878.28	17481.089999999997	11419.52	14803.48	16290.71	13229.04	13941.9	14156.3	17415.91	18980.29	16985.08	17583.74	17669.260000000002	17209.070000000003
EC:2.6.1.55	Taurine--2-oxoglutarate transaminase	1654.0	1928.08	1808.0	1549.17	958.5	2017.83	1275.42	1804.25	2607.67	1771.67	1458.75	1490.42	1826.92	1743.25	2049.67	2445.67	1626.84	1821.5
EC:2.6.1.57	Aromatic-amino-acid transaminase	10759.09	7539.83	11247.59	12078.78	15759.34	12680.64	5155.91	5870.3	7786.42	7281.67	7240.0999999999985	7300.51	9587.0	12358.04	8632.33	9048.47	10601.15	9120.05
EC:2.6.1.59	dTDP-4-amino-4,6-dideoxygalactose transaminase	459.0	270.0	422.6	300.0	526.5	400.3	1232.84	733.8	925.0	635.83	857.2	1166.5	1199.0	1189.2	1108.5	830.4	1307.0	629.0
EC:2.6.1.62	Adenosylmethionine--8-amino-7-oxononanoate transaminase	11675.12	12754.83	15165.78	13820.1	14275.95	14360.37	8821.59	11299.85	13571.71	10414.4	10606.9	10801.14	14150.25	15481.12	13735.92	14033.899999999998	13973.1	13702.910000000002
EC:2.6.1.66	Valine--pyruvate transaminase	8208.32	6818.33	8692.71	8841.18	10039.22	9595.52	5555.3	6587.43	10068.16	6909.21	7417.27	7334.16	9583.41	10744.57	8577.58	9671.479999999998	10001.96	8215.210000000001
EC:2.6.1.76	Diaminobutyrate--2-oxoglutarate transaminase	2509.2	3080.5	2983.63	2757.5	1809.23	2636.67	2155.54	3227.5	4441.47	3649.56	2536.7	3191.33	3163.16	2764.5	2934.0	4129.0	3852.95	2846.57
EC:2.6.1.81	Succinylornithine transaminase	220.0	86.0	154.92999999999995	144.0	211.5	194.97	42.4	25.8	35.67	13.99	1.2	31.5	96.33	67.2	33.0	20.4	59.67	84.67
EC:2.6.1.82	Putrescine aminotransferase	350.0	637.75	305.1	514.5	247.0	360.8	370.65	497.05	550.5	724.83	485.95	599.75	589.25	422.95	630.0	386.65	627.6700000000002	392.0
EC:2.6.1.83	LL-diaminopimelate aminotransferase	355.0	755.66	746.25	977.5	553.0	607.4300000000002	1839.82	1575.16	1335.33	697.03	1483.01	2083.640000000001	1567.74	1453.0	1662.67	1214.99	1608.01	938.0
EC:2.6.1.84	Arginine--pyruvate transaminase	680.0	537.0	1111.75	1001.43	1260.25	939.0	379.5	626.5	496.5	532.5	750.6500000000002	639.5	462.75	827.0	492.25	716.6	947.75	646.25
EC:2.6.1.85	Aminodeoxychorismate synthase	19095.29	23631.91	23909.01	23233.450000000004	20858.08	21851.18	16318.63	20904.880000000005	23887.620000000006	17680.51	18907.27	20169.35	25363.66	26413.49	23833.75	25268.13	24934.52	22960.5
EC:2.6.1.86	2-amino-4-deoxychorismate synthase	1603.0	1958.25	1942.67	2154.0	1039.5	1512.5	1108.25	1959.75	3656.0	1922.5	1626.25	1581.75	2114.25	1977.75	2087.5	3164.75	1876.84	1879.0
EC:2.6.1.87	UDP-4-amino-4-deoxy-L-arabinose aminotransferase	27.0	37.0	31.6	30.0	49.5	45.3	126.4	167.8	65.0	319.83	83.2	307.5	18.0	17.2	34.0	30.4	130.0	45.0
EC:2.6.1.9	Histidinol-phosphate transaminase	31426.37	35446.490000000005	38023.58	37067.91	36176.66	36055.849999999984	23905.12000000001	30731.61	35313.57	26620.120000000006	29720.94	30223.42	38710.23	41298.46	36330.83	39410.95	39235.36	35991.85000000001
EC:2.6.1.96	4-aminobutyrate--pyruvate transaminase	711.5	639.5	925.75	1029.6	944.25	960.5	615.5	875.0	628.5	560.5	828.45	751.5	540.75	646.0	749.25	850.8	924.75	841.25
EC:2.6.1.98	UDP-2-acetamido-2-deoxy-ribo-hexuluronate aminotransferase	3153.67	2022.0	3143.33	3227.0	4773.67	3050.67	1748.67	1654.0	2238.34	2190.67	2089.0	1607.6699999999996	3104.0	3870.67	2524.33	2461.65	3095.99	2849.67
EC:2.6.99.2	Pyridoxine 5'-phosphate synthase	11344.87	9300.66	13443.31	12498.6	15200.32	13627.05	8666.57	10032.63	11394.56	9280.15	10260.07	10696.83	11786.58	14209.37	12117.42	11832.379999999996	12714.68	12115.410000000002
EC:2.7.1.1	Hexokinase	34.0	0.0	31.0	31.0	0.0	0.0	51.0	0.0	35.0	34.0	0.0	37.0	0.0	1.0	37.0	21.0	12.0	0.0
EC:2.7.1.100	S-methyl-5-thioribose kinase	1025.0	1118.75	1165.1	1435.0	668.6	1164.8	1144.72	1324.35	2076.3	1321.33	1033.25	1605.35	1062.25	1119.25	1089.0	1712.2	1100.0	1055.5
EC:2.7.1.107	Diacylglycerol kinase (ATP)	12429.2	13556.08	14919.95	14843.23	15315.45	14374.34	10025.85	12937.48	14772.62	11270.62	12237.320000000003	12852.04	16088.32	17575.79	14846.08	15135.899999999998	16370.18	14453.07
EC:2.7.1.11	6-phosphofructokinase	14273.08	16106.41	16566.17	16183.15	14962.04	15629.19	12333.25	15534.28	19205.15	13517.86	14071.32	15004.54	19083.4	19729.66	17900.25	19227.39	18239.92	17201.660000000003
EC:2.7.1.113	Deoxyguanosine kinase	175.0	159.0	86.8	119.8	70.3	121.4	581.3700000000001	212.6	303.4	378.64	145.0	663.3	69.0	22.0	78.0	45.6	70.0	108.0
EC:2.7.1.119	Hygromycin-B 7''-O-kinase	724.0	1410.0	1001.0	950.0	715.0	995.0	577.0	688.0	742.0	622.0	794.0	736.0	892.0	792.0	853.0	974.75	1606.0	817.0
EC:2.7.1.12	Gluconokinase	11952.54	12718.33	13747.08	14450.73	14415.92	13860.66	8232.369999999999	10716.53	13323.45	10335.04	10837.820000000003	10632.93	13997.91	15560.54	12991.41	14729.73	14463.51	12689.83
EC:2.7.1.13	Dehydrogluconokinase	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	16.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:2.7.1.130	Tetraacyldisaccharide 4'-kinase	10194.37	8148.5	12063.31	11281.43	13860.32	11778.89	6926.57	8613.3	10041.39	8204.98	8720.400000000001	8930.67	10231.08	12660.87	10569.25	10331.38	10811.01	10871.41
EC:2.7.1.14	Sedoheptulokinase	0.0	0.0	10.0	0.0	0.0	14.0	0.0	0.0	0.0	13.75	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0
EC:2.7.1.144	Tagatose-6-phosphate kinase	1429.0	2450.25	1581.5	2155.5	1013.0	1762.5	1207.69	1854.25	2548.0	1732.5	1584.25	1679.75	2187.25	1902.25	1980.5	2419.5	2768.84	1644.5
