Feature ID	Taxon	Confidence
04f1fc22d0bdd13e0ad64896a76f5a1a	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Noviherbaspirillum;s__	0.8454182624688092
2ed9b4e1a2c0c66a956abb60c0bc21ac	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae	0.9926280983091877
827a683c6db670e0b8a9605e2e151eb1	d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Agromyces;s__	0.9997846358866608
180774ad6f04090785c9452ba718964b	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Ensifer;s__	0.9580579475414256
e639b84897084271ffa758b826ad9075	d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Lentzea;s__	0.8672410762750471
ffa6233fddbce8efb643a3c7082987c6	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Ensifer;s__	0.9626812847969969
e2d1e580c5b639b9e61828449c40dfab	d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micromonosporales;f__Micromonosporaceae	0.9991093701124206
0fc29f256ce2007a0279b6c01a3f4f6b	d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Lentzea;s__	0.970327231136189
8e1dcba358617dc87ba3c52ab1b9083f	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__	0.9984984822209453
9e38d7a596c1f49b5b95690023774f80	d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides;s__	0.9966663036315021
a8bb1e813fcb2199b9c6b377d38c9cfb	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Devosiaceae;g__Devosia;s__	0.891455804332971
72d302bbb09ea78e6de89ef2819eec78	d__Bacteria;p__Myxococcota;c__Polyangiia;o__Polyangiales;f__BIrii41;g__Incertae_Sedis;s__	0.9994423595937975
